,Chef,Établissement,Localité,Département,Région,naissance,nationalité,distinction,age,nb_distinction,nb_star_chef
29,Patrick Henriroux,La Pyramide,Vienne,38 Isère,Auvergne-Rhône-Alpes,1958-11-20 00:00:00.000000000,Français,['2 étoiles au Guide Michelin'],62.0,1.0,2.0
30,Steven Naessens,Maison Jeunet,Arbois,39 Jura,Bourgogne-Franche-Comté,,,,,,
31,Jean Coussau,Relais de la Poste,Magescq,40 Landes,Nouvelle-Aquitaine,,,,,,
32,Christophe Hay,La Maison d'à côté,Montlivault,41 Loir-et-Cher,Centre-Val de Loire,1977-06-13 00:00:00.000000000,Français,,43.0,1.0,2.0
33,Rémy Giraud,Domaine des Hauts de Loire,Onzain,41 Loir-et-Cher,Centre-Val de Loire,,,,,,
34,Mathieu Guibert,Anne de Bretagne,La Plaine-sur-Mer,44 Loire-Atlantique,Pays de la Loire,,,,,,
35,Philippe Mille,Le Parc (Les Crayères),Reims,51 Marne,Grand Est,,,,,,
36,Kazuyuki Tanaka,Racine,Reims,51 Marne,Grand Est,,,,,,
37,Marc Meurin,Le Château de Beaulieu,Busnes,62 Pas-de-Calais,Hauts-de-France,1953-01-04 00:00:00.000000000,Français,,67.0,1.0,2.0
38,Alexandre Gauthier,La Grenouillère,La Madelaine-sous-Montreuil,62 Pas-de-Calais,Hauts-de-France,1979-03-26 00:00:00.000000000,Français,,41.0,1.0,2.0
39,Xavier Beaudiment,Le Pré,Durtol,63 Puy-de-Dôme,Auvergne-Rhône-Alpes,,,,,,
40,Pascal Bastian,Auberge du Cheval Blanc,Lembach,67 Bas-Rhin,Grand Est,1978-11-24 00:00:00.000000000,Français,,41.0,1.0,2.0
41,Nicolas Stamm,La Fourchette des Ducs,Obernai,67 Bas-Rhin,Grand Est,,,,,,
42,Jean-Georges  Klein,Villa René Lalique,Wingen-sur-Moder,67 Bas-Rhin,Grand Est,1950-01-01 00:00:00.000000000,Français,,70.0,1.0,2.0
43,Jean-Yves Schillinger,JY'S,Colmar,68 Haut-Rhin,Grand Est,,,,,,
44,Paul et Marc Haeberlin,L'Auberge de l'Ill,Illhaeusern,68 Haut-Rhin,Grand Est,1970-01-01 00:00:00.000001953,Français,,50.0,1.0,2.0
45,Olivier Nasti,La Table d'Olivier Nasti,Kaysersberg,68 Haut-Rhin,Grand Est,1966-12-09 00:00:00.000000000,Français,,53.0,1.0,2.0
46,Paul Bocuse,L'Auberge du Pont de Collonges,Collonges-au-Mont-d'Or,69 Rhône,Auvergne-Rhône-Alpes,1926-02-11 00:00:00.000000000,Français,,94.0,1.0,2.0
47,Christophe Roure,Le Neuvième Art,Lyon,69 Rhône,Auvergne-Rhône-Alpes,,,,,,
